,TAC,assignee_country
0,797.0,DE
1,6201.0,US
2,569.0,FR
3,1230.0,JP
4,112.0,BE
5,277.0,AU
6,487.0,CA
7,219.0,SE
8,582.0,GB
9,233.0,NL
10,303.0,CH
11,132.0,DK
12,70.0,AT
13,68.0,NO
14,64.0,FI
15,3.0,BG
16,163.0,IN
17,279.0,IT
18,241.0,IL
19,10.0,AN
20,21.0,LU
21,249.0,CN
22,61.0,BR
23,383.0,KR
24,5.0,SI
25,1.0,PH
26,93.0,IE
27,3.0,SK
28,197.0,TW
29,1.0,NR
30,21.0,AR
31,22.0,CU
32,58.0,NZ
33,1.0,NG
34,145.0,ES
35,33.0,SG
36,13.0,CZ
37,16.0,LI
38,29.0,ZA
39,24.0,HU
40,1.0,CT
41,21.0,VG
42,2.0,UA
43,2.0,MG
44,1.0,CR
45,10.0,DT
46,25.0,BM
47,42.0,RU
48,6.0,BS
49,3.0,UY
50,11.0,BB
51,32.0,HK
52,3.0,AE
53,7.0,TH
54,5.0,EE
55,2.0,ID
56,4.0,MC
57,2.0,EG
58,9.0,IS
59,5.0,CY
60,10.0,GR
61,37.0,MX
62,1.0,MK
63,2.0,SL
64,1.0,CK
65,19.0,MY
66,2.0,GI
67,5.0,CO
68,2.0,MA
69,3.0,KN
70,2.0,SU
71,1.0,JE
72,2.0,PA
73,1.0,AG
74,21.0,PT
75,2.0,SM
76,12.0,KY
77,1.0,GE
78,5.0,un
79,1.0,NE
80,2.0,IM
81,11.0,PL
82,3.0,SW
83,1.0,JM
84,2.0,EC
85,1.0,SF
86,2.0,JO
87,20.0,CL
88,1.0,BD
89,1.0,WV
90,1.0,TN
91,3.0,MT
92,1.0,HR
93,1.0,MU
94,2.0,MM
95,1.0,JA
96,1.0,PE
97,2.0,EN
98,3.0,KE
99,6.0,TR
100,2.0,SA
101,1.0,DZ
102,1.0,VN
103,2.0,KW
104,1.0,IR
105,1.0,LB
106,1.0,MH
107,1.0,LV
108,1.0,GT
