,TP,assignee_id
0,223.0,org_MT1sT05I0jJmLnH2wFBA
1,185.0,org_Sn9BS14ac1ayKK7SI0Sh
2,2.0,org_AMOqoNVYalHfip8A79UF
3,15.0,org_BbOcXG94v7C6fMMxN32r
4,41.0,org_sZyvqEkctwnzNVPiBFYA
5,1.0,org_bwsvgi8d9lN4ZctIgP4m
6,2.0,org_6CDWCg0FGiDUB0lcTR0m
7,1040.0,org_JEV1R9WB6Vw9acI8Q62K
8,33.0,org_0JxewFA9JQxXu7ZypxF0
9,47.0,org_BaRtFtxt8kJchFhIJxrM
10,205.0,org_vlTwP6sqyNDhenWRjhF0
11,758.0,org_7K5X2p6S6chDc9Ofw4KJ
12,5.0,org_9rJy6xAwXeYvm6VNlvZ9
13,150.0,org_5VwB519Ai0u8NbHK5NYw
14,127.0,org_bgJtlc1EQKImQ78FOaAW
15,66.0,org_clFZINKOzeC5vghy1VLa
16,3.0,org_wQBUCPwQse832ORHNvu8
17,62.0,org_51gb9Jb06jzr2PvEScpn
18,248.0,org_Yz2rKccDrx5YYq2GAfHz
19,28.0,org_7ON4nlINg1nuyWj0Ykni
20,2.0,org_aNO3r8ISJaFqL1gHptMt
21,18.0,org_qVnsbgUtDdCmVVtRiOeL
22,39.0,org_w2ySsxqUCiG0bgl7Xkva
23,50.0,org_R0T9p6br460foFbTBNcL
24,1.0,org_mFO1nyYkF3g3Lr3xD9sc
25,42.0,org_4CuI5nEOfZJthy8dUkXf
26,1.0,org_mVe8HZrMPYhaoilrPe3y
27,112.0,org_QuFX7zfn3lqKwF250v5r
28,44.0,org_f48NwciCnwuL8HkeinfP
29,250.0,org_Fh80nJSnhb5JvDWxysVv
30,187.0,org_s2OD43PnifPgVb1TuIqz
31,9.0,org_Vh6hEbyWamIAZ0Le0TvY
32,21.0,org_jqDyLrWCCYfLsLXKyaWY
33,1.0,org_UabtOXBD4NbHVHpbCH1f
34,20.0,org_cXD4jKgEHlO0RT65dn89
35,166.0,org_0uWKxWVqsEJx3sIg4Bn6
36,28.0,org_94Hhd01Owj6Ao4pc3lXb
37,1.0,org_AVFnjHjYJd7TV6dGy7Ui
38,3.0,org_xpG4G6kMGvG4b1RjXQF0
39,3.0,org_kZhPIF3WSO3yh0ZZuv17
40,38.0,org_i69ZzdHoGxay09v7myFX
41,262.0,org_ZKlSLkqgDH53F6ZGhUwV
42,71.0,org_nNXdW7jRN3OishrKJIck
43,1.0,org_8cHxOXI6IFRLWXFVK95Y
44,1.0,org_EaiocCrvGMu4omf8EWat
45,17.0,org_p1Etzjhs2e5ubTlKPSDi
46,481.0,org_saQhRz2IGa0Jn68tq6M3
47,55.0,org_TJrLNUgbTSdDUr4sXfxF
48,205.0,org_MeP86vL2NAEMuU37C6fr
49,101.0,org_nF0Z1feqAMgGVoNvPdJQ
50,58.0,org_jF7Q5WCWy4w42MwCEQz6
51,4.0,org_cmM80qhi568l78QFTiuq
52,6.0,org_vobrWrMd1xiRrP7nYwQc
53,266.0,org_LfucspgNvJi2c0ZW5rjK
54,13.0,org_uLcNTMcs07WgVNTX2Aew
55,114.0,org_5GoRbpfKQS6m997ZkwOb
56,204.0,org_uzqOYdAzaTdWuUhvOF6O
57,2.0,org_oUgixPdz0B5ZNqd7ubVC
58,14.0,org_nS7lWxZF8QZXBFx7QIG1
59,11.0,org_I9fojsXPSWEyOPsGjP34
60,94.0,org_sEJyo7D2oCpiBbMpckEr
61,83.0,org_yFaSf2BFa8i58JwgSnis
62,17.0,org_fJMGTuD0QsG1YRjQ1CwO
63,60.0,org_XDzgoK2P9tRGyqf8NM8G
64,1.0,org_kVPbmSS1DvqzLb9U34bw
65,707.0,org_168zEoeGHWqu17miyFuZ
66,23.0,org_Cer9Yspj3fBwBQcZJabu
67,2.0,org_NyifGVZxphLCPAcOWqll
68,45.0,org_vF1bvMWAFBX1iF9AWdYw
69,199.0,org_8MmWpAuP3LY54L4CzexG
70,1.0,org_3gagj9gUs04SDfm0sytI
71,9.0,org_qothoGDnj3fuWVMaGYkl
72,1.0,org_GNHIOAtp5eC9AV6K5IfJ
73,3.0,org_sNsxXA1AA369Cf0CzyUV
74,23.0,org_Up0D95KRyvR7SoUGx3T5
75,25.0,org_od0ygkRn6x1h418KfADp
76,19.0,org_3ARpJh5Df46yMdnyxmvc
77,248.0,org_WKtGzpJcRSnUKuGImPVi
78,95.0,org_nK8EhIhNCoW6mEGP3fkO
79,88.0,org_Un2wqcpx9n1MrDBLrBrf
80,85.0,org_7B7NR6krPrrjtdegzuwz
81,2.0,org_yiXVjtIbvWGNTV1ZEH8V
82,146.0,org_V7PwAqqvb57rTFcBLTB2
83,2.0,org_2MdfLKJvgxvv8R4fqyHX
84,6.0,org_GwAp2SihfUMiWrdVG8Kt
85,7.0,org_bbjOr47HaU53DfVNXZfV
86,7.0,org_zHIALtrvvJ1LeEIAwDKX
87,5.0,org_74lXlph1Qd8I9i1imuHT
88,2.0,org_v2S2GPLSuC3aWFzhQsVf
89,1.0,org_fdp1z8Ss44WB4whIqnlE
90,11.0,org_MA2A07Fin89h4McCYupS
91,16.0,org_K2V2iDIf1CHCaQm3SiOB
92,14.0,org_lcf563kdgaKq5PEdSEuX
93,24.0,org_YYCIOCgkGrLKfEqqPgUR
94,7.0,org_J72Cyo179gbZCIIbEpEC
95,3.0,org_lULd1DiKcLk4OrbZ99hv
96,66.0,org_xP5W8RORBDpACgV0DqQs
97,96.0,org_FpEkp1WC1iRMs3D9Ftua
98,14.0,org_b204qiy0lsZrNyVBvvcV
99,41.0,org_F6vQDkoXT2wUQLjbogy9
100,19.0,org_IJ4wPHo6oCjVpYGW1dP0
101,1.0,org_233UGGYhNpMotUUHVaq1
102,88.0,org_dnnAjrqEa7rwS7ajwVN1
103,31.0,org_0rrd5c6UJFVAMVthKxA8
104,137.0,org_YT7qRRTcIXd06luHt8vf
105,110.0,org_l0lIIeFlxIwQIykb6UKA
106,17.0,org_cdqnkCaXJ4zO02lxCYyB
107,4.0,org_V0PBmDnCG1Voq7Ojgumd
108,13.0,org_aqs8SC7ePDcMcDkw5QbA
109,4.0,org_SPegiOA1jusqsDRNLJAt
110,1.0,org_2xag2ooOrSBqbPd6qS3f
111,2.0,org_oVyMTBipuVfZNb53aY0e
112,16.0,org_6FmZsXq6HMvfkceFZZVk
113,85.0,org_7Gu7aStGeVfQpqQqQpbS
114,33.0,org_8XsbcOLzlWLUL14dZyzj
115,96.0,org_9MMdmn7bWJiuxgUQco4l
116,3.0,org_fR03eFZQkixOQ5Cp57ln
117,10.0,org_gE4SofZ5wf6I9s68EPu9
118,25.0,org_d2dNRNKOhvGmvVOWmMIc
119,231.0,org_Qj16KQZNkQhjnFntUhXt
120,5.0,org_YZiSRmWjBEvLWCfy2NFQ
121,23.0,org_nCiTEwZrfiaYXclgVU8h
122,3.0,org_lhfKLzESwJG5tiyvohvX
123,8.0,org_MXT4wgjSwQNlacTS7uJp
124,20.0,org_X6j9L315Ci0bFp9J0vrO
125,15.0,org_V8nsDomalMmTnELer7La
126,2.0,org_trXNxZpwqJ2wrHI9yN0x
127,2.0,org_Uf6uh0yXwQPeH22jssP2
128,57.0,org_clvZcJoCnAIs54qyUsSu
129,16.0,org_Lc9AfXt4lIAFtLzDL2Dz
130,3.0,org_7BXQQ4fkiQPccDaNEzrG
131,19.0,org_VdBpUNklYNvWR0R8ta7U
132,90.0,org_sQeWkcPffITng3dQxvzE
133,111.0,org_mssd1t18gXAiAmOHR2R4
134,4.0,org_CRHC4ZhsiosImAZ3sOwF
135,4.0,org_A80OFZn28I0Ou4AV1Ny2
136,31.0,org_pACT13oWFpiEDgRt29e9
137,11.0,org_9qGmhROr1Ib4WhJT19TU
138,2.0,org_XM8uQ68BGHa2kPA65Wwe
139,528.0,org_T1rifBvqxBVK2QGzxTke
140,11.0,org_J5jAEVD5uUwaH5A58Jsz
141,2.0,org_1OzCG7uBPQEGYdNFN5jF
142,73.0,org_VyPIFskN6t21dqVTeWQ7
143,3.0,org_ZZvRmaqN6AfuO6fXf0RO
144,1.0,per_bTRx3us6I6v1FkCoDR3i
145,1.0,org_ZDhAbRquyEJwB4UJjigo
146,9.0,org_NNYaeT2bW4mL2l6m0WE9
147,127.0,org_To1VBItpLYuVWXb6YEzn
148,1.0,org_9oid6XxaeKAvARrmQq4O
149,16.0,org_SwB8BnuDKd04WDCHtyz1
150,1.0,org_trtHL8Vg3ZbZEYm9JsaK
